epoch,acc,loss,lr,val_acc,val_loss
0,0.5114,2.017162149925232,0.001,0.5529,1.706285528755188
1,0.6379,1.4119087581253051,0.001,0.6535,1.360033123588562
2,0.6951,1.207734673728943,0.001,0.6285,1.4131397113800048
3,0.72708,1.0939531260681152,0.001,0.6973,1.1774143588066102
4,0.75194,1.0097874345779418,0.001,0.6931,1.214022248840332
5,0.7748,0.9429516606140137,0.001,0.7011,1.1675269344329835
6,0.79092,0.900449751701355,0.001,0.7299,1.121308671951294
7,0.80872,0.8520804645347595,0.001,0.7356,1.0963712015151978
8,0.82152,0.8196687115097046,0.001,0.7143,1.1723984437942505
9,0.83516,0.7854733394813538,0.001,0.7276,1.1465291296005249
10,0.8428,0.7686908390808106,0.001,0.7614,1.0477806357383728
11,0.85568,0.7395242436790467,0.001,0.7342,1.2104702209472655
12,0.86156,0.7248024192810059,0.001,0.7605,1.0862159393310546
13,0.87038,0.703910625743866,0.001,0.7253,1.2710224006652833
14,0.87532,0.6908445937919617,0.001,0.7243,1.2499811227798463
15,0.8834,0.6770909491539001,0.001,0.7441,1.1947828586578368
16,0.95144,0.47611401193618774,0.0003162278,0.7932,1.0716428325653076
17,0.968,0.4038295573616028,0.0003162278,0.78,1.2022322456359864
18,0.97242,0.3771381740474701,0.0003162278,0.7813,1.248547578716278
19,0.97396,0.3612306925296783,0.0003162278,0.7859,1.2445422878265382
20,0.97716,0.34224806487083437,0.0003162278,0.7788,1.2841696272850036
